timestamp,temperature_2m,relative_humidity_2m,precipitation,soil_temperature_0cm,soil_moisture_0_1cm
2025-09-07T00:00,26.9,92,1.8,26.8,0.407
2025-09-07T01:00,26.6,91,1.2,26.6,0.408
2025-09-07T02:00,26.2,92,0.9,26.2,0.408
2025-09-07T03:00,26.1,92,0.3,26.1,0.407
2025-09-07T04:00,25.9,92,0.7,25.9,0.407
2025-09-07T05:00,26.4,93,0.5,26.5,0.398
2025-09-07T06:00,26.3,93,0.7,26.4,0.399
2025-09-07T07:00,26.4,93,0.4,26.9,0.399
2025-09-07T08:00,26.9,90,0.7,28.4,0.4
2025-09-07T09:00,27.7,87,0.8,29.8,0.4
2025-09-07T10:00,28.8,82,0.1,30.9,0.4
2025-09-07T11:00,31.4,73,0.1,36.5,0.4
2025-09-07T12:00,31.9,71,0.2,37.1,0.399
2025-09-07T13:00,32.2,68,0.2,36.1,0.398
2025-09-07T14:00,31.1,75,1.2,33.6,0.399
2025-09-07T15:00,31.0,77,0.3,33.6,0.399
2025-09-07T16:00,30.2,80,1.7,31.2,0.4
2025-09-07T17:00,29.4,82,0.7,29.5,0.401
2025-09-07T18:00,28.5,85,0.6,28.2,0.401
2025-09-07T19:00,27.8,89,1.3,27.6,0.403
2025-09-07T20:00,27.4,89,0.8,27.2,0.403
2025-09-07T21:00,27.2,91,0.0,27.1,0.403
2025-09-07T22:00,26.9,90,0.5,27.0,0.404
2025-09-07T23:00,26.5,91,0.3,26.4,0.404
